customer_id,company_size,industry,country,plan,contract_type,monthly_recurring_revenue,discount_percentage,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score,churn,churn_date,churn_reason
10001,Medium,"Professional Services",USA,Starter,Monthly,127.44,17.70,37,13,49,88.10,-38.50,0,87.60,1,0,0,45.80,6.50,20,0,NULL,"Not Churned"
10002,Enterprise,Media,Australia,Starter,Quarterly,110.92,13.70,146,35,142,17.10,-1.70,0,97.40,4,1,0,29.20,8.20,83,0,NULL,"Not Churned"
10003,Large,Retail,UK,Starter,Annual,125.23,5.60,12,3,13,80.70,-27.20,41,72.50,1,6,1,22.50,5.70,3,0,NULL,"Not Churned"
10004,Medium,Healthcare,India,Professional,Quarterly,337.54,6.80,103,27,123,73.90,22.60,32,86.70,0,3,0,35.10,5.90,33,0,NULL,"Not Churned"
10005,Small,Education,India,Professional,Monthly,300.39,16.10,93,20,65,29.80,10.10,0,24.70,3,4,0,40.80,8.50,58,1,2029-10-04,"Missing Features"
10006,Small,Media,India,Enterprise,Annual,2573.50,10.20,24,14,27,68.40,-21.00,44,76.30,3,5,0,30.90,5.70,-18,1,2028-03-04,"Poor User Experience"
10007,Small,Manufacturing,USA,Professional,Annual,394.82,21.00,69,17,87,67.20,-43.60,17,71.50,2,4,0,14.80,5.50,10,1,2025-04-05,Competitor
10008,Large,Finance,UK,Business,Quarterly,997.41,21.10,49,13,50,54.60,9.90,20,75.80,3,3,1,4.80,7.50,42,0,NULL,"Not Churned"
10009,Medium,Finance,UK,Professional,Monthly,381.14,12.50,45,19,37,68.80,-30.80,32,69.90,0,2,1,2.00,8.30,56,1,2028-11-05,Competitor
10010,Large,Finance,India,Starter,Monthly,120.89,4.40,48,26,66,69.60,1.40,0,69.90,0,1,1,10.70,8.00,69,1,2022-11-28,"Contract Expired"
10011,Small,"Professional Services",India,Starter,Monthly,122.71,8.80,30,9,31,79.30,40.80,23,71.60,4,1,0,33.00,7.40,38,0,NULL,"Not Churned"
10012,Enterprise,Manufacturing,India,Business,Annual,783.37,16.70,40,16,60,48.20,14.10,21,46.10,5,3,0,5.50,9.10,83,0,NULL,"Not Churned"
10013,Large,Technology,Singapore,Starter,Annual,118.22,1.90,41,9,46,47.50,-27.00,0,85.20,3,3,0,24.60,6.00,22,0,NULL,"Not Churned"
10014,Small,Manufacturing,USA,Starter,Annual,108.88,17.20,59,17,47,57.60,-2.20,27,48.10,2,2,0,34.20,6.40,22,0,NULL,"Not Churned"
10015,Small,Technology,Germany,Starter,Quarterly,121.89,4.40,112,21,86,26.90,9.20,13,91.80,1,4,0,20.10,8.80,78,0,NULL,"Not Churned"
10016,Small,Finance,Germany,Starter,Annual,129.13,5.90,80,15,69,64.30,-0.60,16,50.40,1,2,0,45.90,6.90,20,0,NULL,"Not Churned"
10017,Small,Retail,UK,Starter,Annual,112.78,4.80,90,18,127,56.90,9.60,5,91.40,1,2,0,17.40,7.30,58,0,NULL,"Not Churned"
10018,Medium,Retail,Canada,Professional,Annual,413.11,1.50,80,20,87,54.10,3.00,5,57.20,1,2,1,20.90,7.10,24,0,NULL,"Not Churned"
10019,Medium,Media,India,Starter,Annual,129.17,20.10,19,5,26,70.20,-2.10,28,77.90,5,0,0,43.30,8.00,58,0,NULL,"Not Churned"
10020,Small,Technology,Canada,Professional,Annual,324.44,12.40,31,13,38,28.90,-29.40,12,100.00,1,1,0,12.30,7.70,19,0,NULL,"Not Churned"
10021,Medium,Finance,USA,Business,Monthly,772.18,4.20,87,20,121,40.80,-1.40,48,95.40,2,6,1,41.00,6.00,11,1,2027-01-24,"High Price"
10022,Small,Manufacturing,Germany,Business,Annual,773.07,6.30,57,11,64,68.60,6.20,32,95.70,3,1,1,31.90,6.50,19,0,NULL,"Not Churned"
10023,Small,Retail,India,Professional,Monthly,416.80,20.10,8,3,11,72.30,-21.80,9,36.90,0,2,0,30.20,6.50,0,1,2030-05-22,"High Price"
10024,Medium,Technology,Australia,Professional,Quarterly,326.49,8.30,19,4,28,76.60,12.80,21,65.90,1,2,1,22.00,9.10,76,0,NULL,"Not Churned"
10025,Medium,Media,India,Starter,Annual,109.07,15.30,50,16,41,64.40,-9.60,58,60.00,2,2,1,37.40,5.70,13,1,2026-06-12,Competitor
10026,Large,Manufacturing,Germany,Business,Monthly,771.29,8.60,106,20,159,25.60,14.50,23,62.50,0,0,0,41.00,10.00,78,1,2030-12-01,Competitor
10027,Small,Finance,USA,Professional,Monthly,339.68,15.70,22,7,28,43.60,3.80,7,70.70,1,2,1,10.50,8.00,39,0,NULL,"Not Churned"
10028,Medium,Healthcare,Canada,Professional,Annual,372.88,4.40,50,11,58,76.20,-26.10,8,68.90,3,3,1,6.80,6.40,13,0,NULL,"Not Churned"
10029,Medium,Finance,USA,Business,Annual,746.03,3.20,100,21,149,80.30,17.70,0,72.90,1,2,1,34.40,8.40,55,0,NULL,"Not Churned"
10030,Small,"Professional Services",USA,Professional,Annual,317.03,9.40,48,11,40,36.40,-16.90,4,81.00,4,3,1,28.20,8.20,72,0,NULL,"Not Churned"
10031,Medium,Finance,Canada,Professional,Annual,417.12,15.00,48,16,58,47.70,1.50,6,57.80,3,1,0,36.80,9.80,83,0,NULL,"Not Churned"
10032,Small,Media,Singapore,Professional,Annual,373.18,6.90,15,7,13,60.10,27.40,41,94.60,0,1,0,32.30,8.00,46,0,NULL,"Not Churned"
10033,Small,Manufacturing,India,Professional,Annual,314.61,8.60,49,26,54,84.10,-1.30,19,86.30,2,1,1,48.50,8.60,76,0,NULL,"Not Churned"
10034,Enterprise,Media,Singapore,Business,Monthly,886.15,11.20,34,18,25,64.10,-5.70,20,90.40,4,3,0,39.30,5.00,0,0,NULL,"Not Churned"
10035,Enterprise,Manufacturing,UK,Professional,Monthly,327.01,6.20,101,22,98,36.40,-12.20,7,89.50,3,1,0,15.10,6.50,35,1,2025-03-08,"Contract Expired"
10036,Large,Education,Germany,Starter,Monthly,142.89,5.20,51,17,71,40.00,-38.80,0,63.20,0,2,0,21.30,6.30,33,0,NULL,"Not Churned"
10037,Small,Education,USA,Professional,Monthly,345.13,11.30,24,8,31,64.40,-23.80,37,100.00,3,2,0,24.10,8.90,71,0,NULL,"Not Churned"
10038,Small,Manufacturing,USA,Enterprise,Annual,1979.63,19.20,5,2,5,44.20,-0.10,47,87.10,0,1,1,10.30,7.00,35,0,NULL,"Not Churned"
10039,Medium,Manufacturing,Germany,Starter,Quarterly,127.74,5.00,24,10,20,48.60,-12.10,8,78.90,2,2,0,44.20,6.30,12,1,2023-12-18,"Poor User Experience"
10040,Medium,Healthcare,USA,Business,Annual,763.35,8.10,54,18,40,17.30,17.90,47,63.40,3,0,0,23.30,9.10,78,0,NULL,"Not Churned"
10041,Small,Healthcare,UK,Professional,Quarterly,360.96,13.20,9,4,13,44.80,-12.10,9,83.60,0,1,0,34.60,8.00,67,0,NULL,"Not Churned"
10042,Medium,Finance,India,Professional,Quarterly,401.90,11.50,24,6,25,96.40,-17.90,45,74.60,3,5,2,8.30,4.20,-29,1,2026-05-21,Competitor
10043,Small,Media,India,Business,Monthly,825.35,19.80,83,17,106,64.10,15.20,21,89.30,0,3,1,16.20,6.60,8,0,NULL,"Not Churned"
10044,Enterprise,"Professional Services",Canada,Business,Annual,864.55,9.90,76,18,108,46.70,2.40,19,77.40,0,4,1,31.10,6.60,29,0,NULL,"Not Churned"
10045,Small,Media,Canada,Business,Quarterly,754.73,0.50,40,15,52,74.10,-8.50,48,58.40,4,2,0,2.00,9.40,72,0,NULL,"Not Churned"
10046,Medium,Retail,UK,Starter,Monthly,129.15,1.80,25,9,27,23.50,-46.00,8,49.00,2,3,0,10.50,5.00,-17,1,2024-12-31,"Contract Expired"
10047,Small,Media,India,Starter,Annual,106.71,19.00,48,12,48,25.10,-11.20,31,80.90,4,2,0,14.80,6.90,31,0,NULL,"Not Churned"
10048,Medium,"Professional Services",USA,Professional,Monthly,337.55,1.50,83,21,116,56.10,15.40,17,84.00,0,3,0,7.00,6.30,23,0,NULL,"Not Churned"
10049,Medium,Healthcare,USA,Business,Monthly,972.75,9.00,68,15,65,84.90,-18.30,0,62.50,0,2,0,18.50,6.00,18,0,NULL,"Not Churned"
10050,Small,Finance,USA,Business,Quarterly,767.10,2.40,73,14,70,53.20,10.20,13,63.10,2,3,1,39.50,8.30,51,0,NULL,"Not Churned"
10051,Enterprise,"Professional Services",Germany,Starter,Monthly,137.29,10.20,111,46,145,54.80,20.90,30,48.10,3,2,0,42.60,8.60,50,0,NULL,"Not Churned"
10052,Large,Media,Australia,Starter,Annual,128.48,11.90,64,24,75,76.40,-32.70,14,63.60,4,3,2,4.60,6.10,12,0,NULL,"Not Churned"
10053,Enterprise,Technology,India,Business,Quarterly,764.46,12.30,44,10,46,82.60,-4.00,0,83.20,2,7,4,2.00,2.90,-20,0,NULL,"Not Churned"
10054,Large,Education,Germany,Professional,Annual,318.14,9.20,57,29,60,69.00,-10.30,29,56.40,7,4,1,19.60,6.80,30,0,NULL,"Not Churned"
10055,Medium,"Professional Services",USA,Professional,Monthly,378.74,0.40,47,19,55,49.30,-15.00,60,63.00,1,2,2,32.70,7.00,30,1,2029-08-23,"Low Product Usage"
10056,Enterprise,Retail,Australia,Business,Annual,939.43,6.10,87,36,91,83.70,-7.20,0,70.60,3,2,1,15.80,7.00,35,1,2026-06-28,"Business Closure"
10057,Small,Finance,India,Starter,Quarterly,129.54,5.70,49,21,47,68.60,31.20,7,66.20,2,0,0,14.70,9.70,79,0,NULL,"Not Churned"
10058,Small,"Professional Services",Canada,Starter,Monthly,131.99,17.00,104,24,148,42.30,-25.80,19,90.20,4,2,1,30.60,6.20,32,1,2025-04-19,Competitor
10059,Small,Manufacturing,India,Business,Monthly,830.07,5.90,32,14,35,97.50,-13.60,0,76.60,1,3,0,15.30,7.60,43,0,NULL,"Not Churned"
10060,Small,Media,USA,Starter,Monthly,102.06,0.00,69,14,59,55.90,22.50,33,81.10,0,0,0,8.30,9.80,87,1,2029-08-12,Competitor
10061,Medium,Technology,India,Starter,Annual,124.21,16.00,86,23,72,54.00,-15.60,15,82.70,5,4,1,45.10,6.50,25,0,NULL,"Not Churned"
10062,Small,Education,India,Starter,Monthly,126.97,13.40,29,8,27,54.20,4.20,31,57.80,6,6,2,34.30,4.90,14,1,2029-02-28,"Business Closure"
10063,Large,Technology,India,Professional,Quarterly,381.74,5.60,40,13,60,74.90,1.40,32,86.30,2,2,0,16.90,6.50,16,0,NULL,"Not Churned"
10064,Medium,Finance,India,Starter,Quarterly,111.72,1.20,56,23,81,48.20,48.30,14,90.10,3,3,0,3.20,6.50,26,0,NULL,"Not Churned"
10065,Small,Media,India,Business,Annual,773.14,6.80,26,12,20,63.40,38.10,46,73.60,3,2,0,21.50,8.80,67,1,2026-11-07,"Poor User Experience"
10066,Medium,Healthcare,Canada,Enterprise,Annual,2509.34,10.00,43,19,33,61.30,16.40,15,65.50,1,0,0,37.30,8.30,86,0,NULL,"Not Churned"
10067,Small,Education,India,Starter,Annual,137.33,14.20,26,5,26,66.00,2.40,53,68.80,2,1,0,3.00,6.50,32,0,NULL,"Not Churned"
10068,Large,Media,UK,Business,Monthly,1016.31,22.40,175,44,194,49.80,-4.40,47,84.10,2,2,0,50.40,9.20,71,0,NULL,"Not Churned"
10069,Small,Technology,India,Starter,Quarterly,116.27,12.20,34,10,32,66.70,-35.70,0,100.00,4,2,0,26.20,7.70,56,0,NULL,"Not Churned"
10070,Enterprise,Healthcare,Singapore,Starter,Monthly,104.48,14.70,40,25,49,90.10,23.40,12,38.90,0,8,3,25.30,4.40,-16,1,2027-12-08,"Poor Support"
10071,Large,Retail,Singapore,Professional,Annual,355.80,0.00,143,27,149,69.40,6.40,33,95.70,1,3,1,33.30,7.00,41,0,NULL,"Not Churned"
10072,Small,Finance,India,Enterprise,Annual,2239.40,2.30,27,6,31,63.90,36.40,19,77.70,2,3,2,38.60,5.80,16,0,NULL,"Not Churned"
10073,Small,Finance,UK,Enterprise,Monthly,1898.13,17.70,25,11,23,53.80,45.10,23,100.00,3,1,1,37.50,9.10,93,0,NULL,"Not Churned"
10074,Large,Education,India,Starter,Quarterly,126.15,0.80,116,37,88,31.60,11.80,20,80.80,5,2,1,22.30,7.70,71,0,NULL,"Not Churned"
10075,Large,Technology,Singapore,Starter,Monthly,112.95,4.70,97,24,122,86.50,-10.90,0,86.30,5,2,0,34.40,9.20,55,0,NULL,"Not Churned"
10076,Large,Retail,UK,Enterprise,Annual,1961.73,12.70,148,67,190,48.90,15.90,59,76.90,2,0,0,20.20,7.40,48,0,NULL,"Not Churned"
10077,Large,Manufacturing,India,Starter,Annual,127.41,12.60,41,12,44,22.50,26.00,24,94.60,5,1,0,19.30,10.00,78,0,NULL,"Not Churned"
10078,Small,Education,USA,Business,Monthly,806.50,3.60,43,10,60,59.30,5.00,21,52.30,4,1,0,31.50,6.70,28,1,2024-05-31,"Poor User Experience"
10079,Medium,Media,India,Starter,Annual,125.59,20.90,52,25,49,59.40,-27.70,23,88.40,1,2,1,28.50,6.70,29,0,NULL,"Not Churned"
10080,Small,Manufacturing,USA,Professional,Annual,299.36,2.10,7,3,9,38.00,-2.40,37,68.60,4,5,0,2.00,7.10,51,0,NULL,"Not Churned"
10081,Large,Education,Canada,Professional,Monthly,342.36,12.10,76,22,88,63.10,7.70,17,92.80,1,2,0,31.70,7.50,54,0,NULL,"Not Churned"
10082,Medium,Technology,USA,Professional,Monthly,403.51,22.30,26,6,27,77.90,-20.50,15,80.20,1,5,3,35.00,5.60,4,0,NULL,"Not Churned"
10083,Small,Retail,USA,Business,Monthly,915.91,12.40,49,13,43,64.50,14.60,0,100.00,4,1,1,42.60,7.60,42,0,NULL,"Not Churned"
10084,Small,Technology,India,Starter,Monthly,138.44,0.00,12,5,15,57.50,-37.40,7,73.30,1,4,2,39.90,5.90,42,0,NULL,"Not Churned"
10085,Small,Finance,India,Professional,Monthly,388.21,16.60,43,9,36,73.80,8.50,21,79.30,0,5,2,28.30,6.20,10,0,NULL,"Not Churned"
10086,Small,Manufacturing,India,Professional,Quarterly,385.67,8.70,75,21,96,65.20,-12.30,20,100.00,1,5,1,23.70,6.60,44,0,NULL,"Not Churned"
10087,Large,Healthcare,Germany,Starter,Monthly,138.54,14.90,49,25,43,56.70,-17.60,30,49.20,1,1,0,19.10,8.00,43,1,2027-01-09,"Contract Expired"
10088,Medium,"Professional Services",India,Starter,Monthly,102.82,19.90,24,10,17,55.10,15.50,18,86.70,2,0,0,48.80,9.00,59,0,NULL,"Not Churned"
10089,Large,Media,UK,Starter,Quarterly,119.64,0.00,38,7,36,40.40,6.50,66,85.10,2,5,0,37.20,7.80,39,1,2022-07-14,Competitor
10090,Medium,Finance,USA,Starter,Monthly,142.34,13.10,73,17,102,28.50,-53.10,40,91.60,3,2,0,21.20,8.80,71,1,2024-03-04,"Low Product Usage"
10091,Small,Finance,India,Enterprise,Monthly,2006.41,18.60,17,6,12,68.40,-24.50,18,81.30,3,2,0,48.30,7.50,67,0,NULL,"Not Churned"
10092,Large,Manufacturing,Canada,Professional,Monthly,377.58,12.50,40,16,30,80.30,29.80,0,80.40,0,4,0,2.00,7.20,40,0,NULL,"Not Churned"
10093,Large,Media,USA,Professional,Monthly,394.30,20.60,37,11,42,48.20,-51.90,23,86.10,3,4,0,44.10,5.20,12,0,NULL,"Not Churned"
10094,Medium,Education,USA,Business,Quarterly,1000.25,11.50,17,8,12,58.50,18.90,34,78.50,3,2,0,2.00,7.60,48,0,NULL,"Not Churned"
10095,Large,Finance,UK,Business,Monthly,981.86,21.80,70,29,85,60.80,-47.00,0,100.00,5,3,1,2.00,6.70,25,1,2027-01-27,"Low Product Usage"
10096,Medium,"Professional Services",USA,Professional,Annual,380.38,0.00,34,8,41,59.00,-35.10,32,99.40,2,2,0,2.00,6.10,6,1,2026-02-27,Competitor
