status_id,customer_id,churn,churn_date,churn_reason
110001,10001,0,,Not Churned
110002,10002,0,,Not Churned
110003,10003,0,,Not Churned
110004,10004,0,,Not Churned
110005,10005,1,2029-10-04,Missing Features
110006,10006,1,2028-03-04,Poor User Experience
110007,10007,1,2025-04-05,Competitor
110008,10008,0,,Not Churned
110009,10009,1,2028-11-05,Competitor
110010,10010,1,2022-11-28,Contract Expired
110011,10011,0,,Not Churned
110012,10012,0,,Not Churned
110013,10013,0,,Not Churned
110014,10014,0,,Not Churned
110015,10015,0,,Not Churned
110016,10016,0,,Not Churned
110017,10017,0,,Not Churned
110018,10018,0,,Not Churned
110019,10019,0,,Not Churned
110020,10020,0,,Not Churned
110021,10021,1,2027-01-24,High Price
110022,10022,0,,Not Churned
110023,10023,1,2030-05-22,High Price
110024,10024,0,,Not Churned
110025,10025,1,2026-06-12,Competitor
110026,10026,1,2030-12-01,Competitor
110027,10027,0,,Not Churned
110028,10028,0,,Not Churned
110029,10029,0,,Not Churned
110030,10030,0,,Not Churned
110031,10031,0,,Not Churned
110032,10032,0,,Not Churned
110033,10033,0,,Not Churned
110034,10034,0,,Not Churned
110035,10035,1,2025-03-08,Contract Expired
110036,10036,0,,Not Churned
110037,10037,0,,Not Churned
110038,10038,0,,Not Churned
110039,10039,1,2023-12-18,Poor User Experience
110040,10040,0,,Not Churned
110041,10041,0,,Not Churned
110042,10042,1,2026-05-21,Competitor
110043,10043,0,,Not Churned
110044,10044,0,,Not Churned
110045,10045,0,,Not Churned
110046,10046,1,2024-12-31,Contract Expired
110047,10047,0,,Not Churned
110048,10048,0,,Not Churned
110049,10049,0,,Not Churned
110050,10050,0,,Not Churned
110051,10051,0,,Not Churned
110052,10052,0,,Not Churned
110053,10053,0,,Not Churned
110054,10054,0,,Not Churned
110055,10055,1,2029-08-23,Low Product Usage
110056,10056,1,2026-06-28,Business Closure
110057,10057,0,,Not Churned
110058,10058,1,2025-04-19,Competitor
110059,10059,0,,Not Churned
110060,10060,1,2029-08-12,Competitor
110061,10061,0,,Not Churned
110062,10062,1,2029-02-28,Business Closure
110063,10063,0,,Not Churned
110064,10064,0,,Not Churned
110065,10065,1,2026-11-07,Poor User Experience
110066,10066,0,,Not Churned
110067,10067,0,,Not Churned
110068,10068,0,,Not Churned
110069,10069,0,,Not Churned
110070,10070,1,2027-12-08,Poor Support
110071,10071,0,,Not Churned
110072,10072,0,,Not Churned
110073,10073,0,,Not Churned
110074,10074,0,,Not Churned
110075,10075,0,,Not Churned
110076,10076,0,,Not Churned
110077,10077,0,,Not Churned
110078,10078,1,2024-05-31,Poor User Experience
110079,10079,0,,Not Churned
110080,10080,0,,Not Churned
110081,10081,0,,Not Churned
110082,10082,0,,Not Churned
110083,10083,0,,Not Churned
110084,10084,0,,Not Churned
110085,10085,0,,Not Churned
110086,10086,0,,Not Churned
110087,10087,1,2027-01-09,Contract Expired
110088,10088,0,,Not Churned
110089,10089,1,2022-07-14,Competitor
110090,10090,1,2024-03-04,Low Product Usage
110091,10091,0,,Not Churned
110092,10092,0,,Not Churned
110093,10093,0,,Not Churned
110094,10094,0,,Not Churned
110095,10095,1,2027-01-27,Low Product Usage
110096,10096,1,2026-02-27,Competitor
110097,10097,0,,Not Churned
110098,10098,0,,Not Churned
110099,10099,0,,Not Churned
110100,10100,1,2027-01-26,Contract Expired
110101,10101,0,,Not Churned
110102,10102,0,,Not Churned
110103,10103,0,,Not Churned
110104,10104,0,,Not Churned
110105,10105,0,,Not Churned
110106,10106,0,,Not Churned
110107,10107,1,2024-05-03,Business Closure
110108,10108,0,,Not Churned
110109,10109,0,,Not Churned
110110,10110,0,,Not Churned
110111,10111,0,,Not Churned
110112,10112,0,,Not Churned
110113,10113,0,,Not Churned
110114,10114,0,,Not Churned
110115,10115,0,,Not Churned
110116,10116,0,,Not Churned
110117,10117,0,,Not Churned
110118,10118,0,,Not Churned
110119,10119,1,2026-04-11,Contract Expired
110120,10120,0,,Not Churned
110121,10121,0,,Not Churned
110122,10122,0,,Not Churned
110123,10123,0,,Not Churned
110124,10124,1,2026-01-30,Business Closure
110125,10125,1,2023-07-01,Contract Expired
110126,10126,0,,Not Churned
110127,10127,1,2027-05-04,Missing Features
110128,10128,0,,Not Churned
110129,10129,0,,Not Churned
110130,10130,0,,Not Churned
110131,10131,1,2024-07-15,High Price
110132,10132,0,,Not Churned
110133,10133,0,,Not Churned
110134,10134,1,2023-07-07,Poor User Experience
110135,10135,0,,Not Churned
110136,10136,1,2021-12-22,Competitor
110137,10137,1,2028-02-12,Business Closure
110138,10138,1,2023-08-12,Competitor
110139,10139,1,2028-05-01,Business Closure
110140,10140,0,,Not Churned
110141,10141,0,,Not Churned
110142,10142,0,,Not Churned
110143,10143,1,2026-04-21,Contract Expired
110144,10144,1,2027-11-13,Business Closure
110145,10145,1,2027-10-19,Contract Expired
110146,10146,0,,Not Churned
110147,10147,0,,Not Churned
110148,10148,0,,Not Churned
110149,10149,0,,Not Churned
110150,10150,0,,Not Churned
110151,10151,0,,Not Churned
110152,10152,0,,Not Churned
110153,10153,1,2027-12-10,Business Closure
110154,10154,0,,Not Churned
110155,10155,0,,Not Churned
110156,10156,1,2026-03-17,Poor User Experience
110157,10157,0,,Not Churned
110158,10158,0,,Not Churned
110159,10159,0,,Not Churned
110160,10160,1,2030-11-30,Competitor
110161,10161,0,,Not Churned
110162,10162,0,,Not Churned
110163,10163,0,,Not Churned
110164,10164,0,,Not Churned
110165,10165,0,,Not Churned
110166,10166,0,,Not Churned
110167,10167,1,2028-01-20,Competitor
110168,10168,0,,Not Churned
110169,10169,0,,Not Churned
110170,10170,0,,Not Churned
110171,10171,1,2028-06-22,Poor User Experience
110172,10172,1,2026-04-04,Poor User Experience
110173,10173,1,2025-07-27,Contract Expired
110174,10174,1,2024-04-09,Low Product Usage
110175,10175,0,,Not Churned
110176,10176,1,2024-06-16,Competitor
110177,10177,0,,Not Churned
110178,10178,0,,Not Churned
110179,10179,0,,Not Churned
110180,10180,0,,Not Churned
110181,10181,0,,Not Churned
110182,10182,0,,Not Churned
110183,10183,0,,Not Churned
110184,10184,0,,Not Churned
110185,10185,0,,Not Churned
110186,10186,0,,Not Churned
110187,10187,0,,Not Churned
110188,10188,1,2026-12-10,Competitor
110189,10189,1,2023-02-05,Poor Support
110190,10190,1,2024-12-26,Business Closure
110191,10191,0,,Not Churned
110192,10192,1,2024-02-24,Poor User Experience
110193,10193,0,,Not Churned
110194,10194,0,,Not Churned
110195,10195,0,,Not Churned
110196,10196,1,2027-02-25,Business Closure
110197,10197,0,,Not Churned
110198,10198,0,,Not Churned
110199,10199,0,,Not Churned
110200,10200,1,2027-03-10,Business Closure
110201,10201,1,2026-01-28,Competitor
110202,10202,0,,Not Churned
110203,10203,0,,Not Churned
110204,10204,0,,Not Churned
110205,10205,0,,Not Churned
110206,10206,0,,Not Churned
110207,10207,1,2023-08-12,Contract Expired
110208,10208,0,,Not Churned
110209,10209,0,,Not Churned
110210,10210,0,,Not Churned
110211,10211,0,,Not Churned
110212,10212,1,2027-08-27,High Price
110213,10213,1,2023-08-23,Contract Expired
110214,10214,0,,Not Churned
110215,10215,0,,Not Churned
110216,10216,0,,Not Churned
110217,10217,0,,Not Churned
110218,10218,0,,Not Churned
110219,10219,0,,Not Churned
110220,10220,0,,Not Churned
110221,10221,0,,Not Churned
110222,10222,0,,Not Churned
110223,10223,0,,Not Churned
110224,10224,0,,Not Churned
110225,10225,0,,Not Churned
110226,10226,0,,Not Churned
110227,10227,0,,Not Churned
110228,10228,0,,Not Churned
110229,10229,1,2022-11-09,Business Closure
110230,10230,1,2030-03-21,Competitor
110231,10231,1,2025-05-31,Business Closure
110232,10232,0,,Not Churned
110233,10233,0,,Not Churned
110234,10234,0,,Not Churned
110235,10235,0,,Not Churned
110236,10236,0,,Not Churned
110237,10237,0,,Not Churned
110238,10238,0,,Not Churned
110239,10239,1,2029-10-01,Poor User Experience
110240,10240,0,,Not Churned
