customer_id,company_size,industry,country,signup_date
10001,Medium,Professional Services,USA,2025-04-11
10002,Enterprise,Media,Australia,2023-01-05
10003,Large,Retail,UK,2024-09-24
10004,Medium,Healthcare,India,2025-04-29
10005,Small,Education,India,2025-06-08
10006,Small,Media,India,2026-08-05
10007,Small,Manufacturing,USA,2021-08-08
10008,Large,Finance,UK,2024-05-12
10009,Medium,Finance,UK,2025-09-25
10010,Large,Finance,India,2021-07-21
10011,Small,Professional Services,India,2026-03-05
10012,Enterprise,Manufacturing,India,2026-09-11
10013,Large,Technology,Singapore,2025-09-10
10014,Small,Manufacturing,USA,2023-01-23
10015,Small,Technology,Germany,2023-10-14
10016,Small,Finance,Germany,2021-04-25
10017,Small,Retail,UK,2024-05-30
10018,Medium,Retail,Canada,2022-04-14
10019,Medium,Media,India,2022-03-02
10020,Small,Technology,Canada,2025-04-25
10021,Medium,Finance,USA,2026-02-09
10022,Small,Manufacturing,Germany,2023-04-14
10023,Small,Retail,India,2026-07-22
10024,Medium,Technology,Australia,2021-01-11
10025,Medium,Media,India,2024-11-09
10026,Large,Manufacturing,Germany,2026-09-21
10027,Small,Finance,USA,2025-09-22
10028,Medium,Healthcare,Canada,2023-08-31
10029,Medium,Finance,USA,2022-08-27
10030,Small,Professional Services,USA,2021-08-01
10031,Medium,Finance,Canada,2022-06-24
10032,Small,Media,Singapore,2022-12-07
10033,Small,Manufacturing,India,2025-10-25
10034,Enterprise,Media,Singapore,2025-08-12
10035,Enterprise,Manufacturing,UK,2024-03-04
10036,Large,Education,Germany,2022-05-13
10037,Small,Education,USA,2023-02-21
10038,Small,Manufacturing,USA,2026-03-25
10039,Medium,Manufacturing,Germany,2021-05-06
10040,Medium,Healthcare,USA,2025-03-07
10041,Small,Healthcare,UK,2023-04-21
10042,Medium,Finance,India,2023-09-10
10043,Small,Media,India,2024-09-03
10044,Enterprise,Professional Services,Canada,2021-01-12
10045,Small,Media,Canada,2025-02-09
10046,Medium,Retail,UK,2024-08-10
10047,Small,Media,India,2025-01-03
10048,Medium,Professional Services,USA,2026-01-05
10049,Medium,Healthcare,USA,2022-05-31
10050,Small,Finance,USA,2025-08-31
10051,Enterprise,Professional Services,Germany,2024-02-22
10052,Large,Media,Australia,2025-03-29
10053,Enterprise,Technology,India,2026-09-18
10054,Large,Education,Germany,2023-09-06
10055,Medium,Professional Services,USA,2026-06-30
10056,Enterprise,Retail,Australia,2026-01-21
10057,Small,Finance,India,2021-08-12
10058,Small,Professional Services,Canada,2021-10-07
10059,Small,Manufacturing,India,2024-04-08
10060,Small,Media,USA,2025-12-25
10061,Medium,Technology,India,2025-10-24
10062,Small,Education,India,2026-08-08
10063,Large,Technology,India,2021-09-05
10064,Medium,Finance,India,2024-10-16
10065,Small,Media,India,2024-10-04
10066,Medium,Healthcare,Canada,2021-02-14
10067,Small,Education,India,2026-09-17
10068,Large,Media,UK,2022-02-20
10069,Small,Technology,India,2024-06-29
10070,Enterprise,Healthcare,Singapore,2023-12-21
10071,Large,Retail,Singapore,2024-02-17
10072,Small,Finance,India,2021-03-28
10073,Small,Finance,UK,2021-08-16
10074,Large,Education,India,2026-01-13
10075,Large,Technology,Singapore,2022-09-15
10076,Large,Retail,UK,2025-05-26
10077,Large,Manufacturing,India,2022-04-30
10078,Small,Education,USA,2021-01-25
10079,Medium,Media,India,2025-12-20
10080,Small,Manufacturing,USA,2024-05-10
10081,Large,Education,Canada,2024-06-02
10082,Medium,Technology,USA,2023-02-18
10083,Small,Retail,USA,2023-07-20
10084,Small,Technology,India,2025-05-22
10085,Small,Finance,India,2025-05-02
10086,Small,Manufacturing,India,2023-01-23
10087,Large,Healthcare,Germany,2025-09-10
10088,Medium,Professional Services,India,2024-01-06
10089,Large,Media,UK,2022-03-02
10090,Medium,Finance,USA,2022-10-22
10091,Small,Finance,India,2025-02-26
10092,Large,Manufacturing,Canada,2022-07-01
10093,Large,Media,USA,2024-01-06
10094,Medium,Education,USA,2025-02-05
10095,Large,Finance,UK,2025-01-02
10096,Medium,Professional Services,USA,2025-10-02
10097,Medium,Retail,USA,2025-11-07
10098,Medium,Finance,UK,2024-09-05
10099,Small,Retail,Canada,2024-10-26
10100,Small,Technology,India,2024-05-24
10101,Small,Media,USA,2021-02-18
10102,Medium,Education,India,2025-12-26
10103,Small,Retail,India,2025-10-13
10104,Medium,Finance,UK,2022-05-11
10105,Enterprise,Education,Germany,2022-09-26
10106,Small,Professional Services,Germany,2022-08-25
10107,Medium,Education,India,2021-06-25
10108,Large,Retail,USA,2022-10-01
10109,Small,Media,UK,2021-10-24
10110,Small,Retail,India,2024-07-07
10111,Small,Healthcare,Australia,2026-02-18
10112,Small,Healthcare,Australia,2022-04-20
10113,Enterprise,Education,Singapore,2025-07-05
10114,Large,Manufacturing,India,2026-05-13
10115,Medium,Media,India,2023-11-27
10116,Large,Manufacturing,Germany,2025-11-24
10117,Large,Healthcare,Canada,2021-01-25
10118,Small,Finance,Germany,2021-12-15
10119,Large,Technology,India,2022-09-29
10120,Medium,Education,UK,2021-08-15
10121,Large,Technology,UK,2024-10-03
10122,Large,Healthcare,India,2021-02-07
10123,Small,Retail,UK,2024-11-07
10124,Small,Professional Services,UK,2024-04-19
10125,Small,Education,India,2021-12-14
10126,Medium,Healthcare,USA,2024-04-18
10127,Large,Media,Canada,2023-09-10
10128,Large,Finance,USA,2023-01-02
10129,Small,Professional Services,Germany,2023-12-03
10130,Medium,Education,USA,2025-02-12
10131,Medium,Education,USA,2024-02-16
10132,Small,Media,Singapore,2025-05-14
10133,Small,Manufacturing,Singapore,2025-12-15
10134,Small,Retail,India,2022-03-29
10135,Enterprise,Education,Australia,2025-10-30
10136,Small,Retail,India,2021-06-13
10137,Medium,Healthcare,India,2024-12-18
10138,Large,Finance,USA,2021-04-12
10139,Medium,Professional Services,USA,2024-12-23
10140,Enterprise,Professional Services,Germany,2022-11-22
10141,Enterprise,Finance,Canada,2024-12-21
10142,Small,Education,Singapore,2026-05-21
10143,Medium,Education,Canada,2022-06-20
10144,Small,Healthcare,USA,2026-07-19
10145,Small,Manufacturing,Canada,2025-08-28
10146,Small,Manufacturing,Singapore,2025-01-03
10147,Medium,Manufacturing,Canada,2025-06-18
10148,Medium,Retail,Australia,2026-02-22
10149,Small,Manufacturing,Singapore,2021-05-04
10150,Small,Finance,India,2021-09-06
10151,Enterprise,Professional Services,Canada,2026-05-26
10152,Small,Professional Services,Germany,2024-07-18
10153,Small,Retail,Singapore,2024-12-23
10154,Medium,Healthcare,India,2025-05-13
10155,Enterprise,Finance,UK,2022-12-14
10156,Small,Professional Services,Canada,2021-09-04
10157,Medium,Finance,India,2022-04-26
10158,Large,Professional Services,UK,2024-12-19
10159,Small,Technology,USA,2023-10-26
10160,Large,Healthcare,USA,2026-07-07
10161,Medium,Healthcare,USA,2022-04-04
10162,Medium,Media,UK,2022-08-16
10163,Medium,Technology,USA,2022-05-13
10164,Medium,Retail,USA,2024-08-09
10165,Small,Professional Services,USA,2021-07-16
10166,Large,Media,India,2021-01-27
10167,Small,Professional Services,India,2025-09-14
10168,Small,Professional Services,India,2024-01-19
10169,Small,Manufacturing,UK,2024-12-09
10170,Medium,Manufacturing,Australia,2022-08-26
10171,Medium,Manufacturing,India,2023-12-28
10172,Small,Manufacturing,India,2021-12-28
10173,Medium,Manufacturing,Australia,2024-07-07
10174,Small,Technology,USA,2023-12-23
10175,Medium,Healthcare,Singapore,2026-07-09
10176,Small,Retail,Canada,2023-08-30
10177,Medium,Finance,USA,2025-09-12
10178,Medium,Manufacturing,USA,2025-07-05
10179,Enterprise,Technology,UK,2025-09-23
10180,Small,Media,India,2023-06-27
10181,Small,Media,India,2021-09-03
10182,Small,Professional Services,India,2021-12-13
10183,Enterprise,Retail,Australia,2026-05-15
10184,Large,Media,UK,2022-01-07
10185,Small,Retail,India,2023-03-20
10186,Medium,Retail,Canada,2021-06-09
10187,Large,Technology,USA,2024-02-25
10188,Medium,Finance,UK,2024-08-27
10189,Medium,Manufacturing,India,2022-06-02
10190,Small,Retail,UK,2024-07-12
10191,Small,Technology,Singapore,2023-01-16
10192,Large,Professional Services,India,2022-02-24
10193,Enterprise,Healthcare,USA,2025-04-01
10194,Medium,Professional Services,India,2021-05-20
10195,Small,Technology,India,2026-01-07
10196,Small,Technology,USA,2022-12-08
10197,Large,Technology,Germany,2022-11-29
10198,Large,Retail,Singapore,2022-04-20
10199,Large,Technology,India,2025-07-19
10200,Large,Healthcare,UK,2026-03-17
10201,Medium,Retail,Canada,2022-05-26
10202,Small,Professional Services,UK,2022-06-22
10203,Small,Healthcare,USA,2025-03-17
10204,Large,Media,India,2024-07-12
10205,Medium,Education,USA,2024-09-28
10206,Small,Professional Services,USA,2023-11-28
10207,Small,Technology,Australia,2021-08-21
10208,Medium,Manufacturing,Australia,2021-11-04
10209,Small,Manufacturing,India,2022-02-07
10210,Small,Retail,India,2023-09-24
10211,Medium,Manufacturing,Singapore,2024-07-08
10212,Medium,Professional Services,UK,2025-02-08
10213,Medium,Retail,Germany,2023-01-20
10214,Small,Professional Services,India,2024-02-04
10215,Large,Technology,UK,2021-10-31
10216,Small,Finance,UK,2025-01-10
10217,Small,Finance,Germany,2023-11-28
10218,Large,Healthcare,India,2023-05-05
10219,Medium,Technology,India,2023-12-06
10220,Large,Manufacturing,USA,2025-10-12
10221,Medium,Technology,Germany,2025-06-17
10222,Medium,Education,Singapore,2024-06-08
10223,Small,Finance,Singapore,2023-03-29
10224,Medium,Manufacturing,Singapore,2025-10-04
10225,Small,Professional Services,India,2023-08-31
10226,Small,Professional Services,India,2021-02-07
10227,Enterprise,Finance,India,2024-03-24
10228,Medium,Technology,USA,2021-04-15
10229,Large,Manufacturing,Germany,2021-09-12
10230,Medium,Healthcare,Germany,2026-06-05
10231,Large,Professional Services,India,2022-08-14
10232,Medium,Technology,UK,2022-06-09
10233,Medium,Healthcare,Singapore,2022-01-05
10234,Medium,Media,USA,2021-04-12
10235,Small,Manufacturing,India,2022-10-26
10236,Large,Finance,USA,2022-11-21
10237,Small,Media,USA,2026-04-11
10238,Small,Education,UK,2025-03-16
10239,Medium,Media,USA,2026-07-22
10240,Small,Retail,India,2023-07-20
10241,Enterprise,Finance,Singapore,2026-01-31
10242,Enterprise,Healthcare,UK,2026-06-13
10243,Enterprise,Technology,USA,2026-03-01
10244,Medium,Media,Singapore,2023-09-05
10245,Small,Professional Services,India,2026-06-18
10246,Enterprise,Manufacturing,India,2022-01-15
10247,Medium,Media,Germany,2025-02-22
10248,Enterprise,Finance,USA,2024-02-23
10249,Enterprise,Professional Services,Australia,2026-09-17
10250,Large,Professional Services,USA,2023-02-20
10251,Small,Education,India,2021-11-06
10252,Medium,Manufacturing,UK,2022-07-10
10253,Large,Media,India,2022-02-01
10254,Small,Healthcare,Australia,2026-02-27
10255,Small,Manufacturing,Canada,2024-03-15
10256,Medium,Media,Singapore,2021-07-20
10257,Enterprise,Manufacturing,Australia,2026-03-06
10258,Medium,Technology,India,2021-01-12
10259,Medium,Retail,Germany,2023-12-12
10260,Small,Media,Canada,2026-05-31
10261,Medium,Professional Services,Canada,2024-08-18
10262,Enterprise,Healthcare,Germany,2026-03-11
10263,Small,Media,UK,2023-07-09
10264,Medium,Media,USA,2023-05-21
10265,Large,Technology,Canada,2022-01-01
10266,Large,Professional Services,USA,2022-10-19
10267,Medium,Retail,India,2021-06-10
10268,Large,Technology,UK,2021-06-24
10269,Medium,Retail,India,2025-02-12
10270,Small,Retail,India,2022-06-29
10271,Large,Retail,India,2025-10-28
10272,Large,Technology,UK,2023-08-15
10273,Large,Manufacturing,USA,2022-03-28
10274,Enterprise,Media,Australia,2021-03-23
10275,Medium,Retail,USA,2024-05-21
10276,Medium,Manufacturing,USA,2023-03-27
10277,Large,Media,USA,2022-03-23
10278,Medium,Professional Services,Canada,2025-06-08
10279,Large,Media,USA,2025-11-29
10280,Large,Professional Services,Singapore,2023-01-19
10281,Large,Healthcare,Singapore,2024-03-19
10282,Small,Education,Germany,2026-03-25
10283,Medium,Manufacturing,Singapore,2025-04-06
10284,Small,Media,USA,2022-10-08
10285,Medium,Professional Services,UK,2022-01-14
10286,Small,Education,Australia,2024-02-15
10287,Medium,Retail,Canada,2023-07-26
10288,Medium,Education,Germany,2026-07-07
10289,Small,Education,Canada,2022-10-24
10290,Medium,Retail,Singapore,2024-09-02
10291,Small,Manufacturing,USA,2023-05-26
10292,Small,Media,Germany,2021-01-12
10293,Large,Retail,Canada,2024-01-19
10294,Medium,Healthcare,Canada,2022-01-23
10295,Small,Finance,USA,2026-04-04
10296,Medium,Media,Australia,2022-01-31
10297,Large,Technology,Singapore,2022-10-02
10298,Small,Retail,India,2021-04-10
10299,Medium,Retail,Canada,2022-04-02
10300,Small,Education,USA,2026-07-16
10301,Small,Healthcare,Singapore,2021-03-15
10302,Medium,Professional Services,USA,2026-02-07
10303,Medium,Professional Services,India,2021-06-24
10304,Medium,Education,USA,2025-10-27
10305,Large,Manufacturing,Canada,2022-05-12
10306,Enterprise,Media,India,2024-07-16
10307,Medium,Retail,UK,2022-03-04
10308,Small,Media,Singapore,2021-02-04
10309,Large,Media,Germany,2024-10-26
10310,Small,Retail,India,2024-10-12
10311,Medium,Education,Singapore,2021-06-25
10312,Small,Media,Canada,2022-08-15
10313,Small,Retail,India,2024-04-01
10314,Enterprise,Manufacturing,India,2023-07-03
10315,Large,Media,India,2024-07-14
10316,Medium,Finance,Germany,2025-05-06
10317,Medium,Technology,India,2024-07-26
10318,Small,Technology,India,2024-08-19
10319,Small,Technology,Australia,2023-08-11
10320,Small,Finance,UK,2023-05-11
10321,Medium,Retail,Australia,2024-06-23
10322,Large,Education,Australia,2021-08-22
10323,Medium,Professional Services,India,2025-01-02
10324,Small,Healthcare,Germany,2025-12-15
10325,Enterprise,Retail,India,2024-03-18
10326,Large,Finance,UK,2021-02-25
10327,Medium,Media,Canada,2023-03-24
