customer_id,company_size,industry,country,signup_date,subscription_id,plan,contract_type,monthly_recurring_revenue,discount_percentage,contract_start_date,contract_end_date,usage_id,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations,support_id,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score,status_id,churn,churn_date,churn_reason
10001,Medium,Professional Services,USA,2025-04-11,50001,Starter,Monthly,127.44,17.7,2025-04-11,2025-05-11,70001,37,13,49,88.1,-38.5,0,87.6,1,90001,0,0,45.8,6.5,20,110001,0,,Not Churned
10002,Enterprise,Media,Australia,2023-01-05,50002,Starter,Quarterly,110.92,13.7,2023-01-05,2023-04-05,70002,146,35,142,17.1,-1.7,0,97.4,4,90002,1,0,29.2,8.2,83,110002,0,,Not Churned
10003,Large,Retail,UK,2024-09-24,50003,Starter,Annual,125.23,5.6,2024-09-24,2025-09-19,70003,12,3,13,80.7,-27.2,41,72.5,1,90003,6,1,22.5,5.7,3,110003,0,,Not Churned
10004,Medium,Healthcare,India,2025-04-29,50004,Professional,Quarterly,337.54,6.8,2025-04-29,2025-07-28,70004,103,27,123,73.9,22.6,32,86.7,0,90004,3,0,35.1,5.9,33,110004,0,,Not Churned
10005,Small,Education,India,2025-06-08,50005,Professional,Monthly,300.39,16.1,2025-06-08,2025-07-08,70005,93,20,65,29.8,10.1,0,24.7,3,90005,4,0,40.8,8.5,58,110005,1,2029-10-04,Missing Features
10006,Small,Media,India,2026-08-05,50006,Enterprise,Annual,2573.5,10.2,2026-08-05,2027-07-31,70006,24,14,27,68.4,-21.0,44,76.3,3,90006,5,0,30.9,5.7,-18,110006,1,2028-03-04,Poor User Experience
10007,Small,Manufacturing,USA,2021-08-08,50007,Professional,Annual,394.82,21.0,2021-08-08,2022-08-03,70007,69,17,87,67.2,-43.6,17,71.5,2,90007,4,0,14.8,5.5,10,110007,1,2025-04-05,Competitor
10008,Large,Finance,UK,2024-05-12,50008,Business,Quarterly,997.41,21.1,2024-05-12,2024-08-10,70008,49,13,50,54.6,9.9,20,75.8,3,90008,3,1,4.8,7.5,42,110008,0,,Not Churned
10009,Medium,Finance,UK,2025-09-25,50009,Professional,Monthly,381.14,12.5,2025-09-25,2025-10-25,70009,45,19,37,68.8,-30.8,32,69.9,0,90009,2,1,2.0,8.3,56,110009,1,2028-11-05,Competitor
10010,Large,Finance,India,2021-07-21,50010,Starter,Monthly,120.89,4.4,2021-07-21,2021-08-20,70010,48,26,66,69.6,1.4,0,69.9,0,90010,1,1,10.7,8.0,69,110010,1,2022-11-28,Contract Expired
