support_id,customer_id,support_tickets,unresolved_tickets,avg_resolution_hours,satisfaction_score,nps_score
90001,10001,0,0,45.8,6.5,20
90002,10002,1,0,29.2,8.2,83
90003,10003,6,1,22.5,5.7,3
90004,10004,3,0,35.1,5.9,33
90005,10005,4,0,40.8,8.5,58
90006,10006,5,0,30.9,5.7,-18
90007,10007,4,0,14.8,5.5,10
90008,10008,3,1,4.8,7.5,42
90009,10009,2,1,2.0,8.3,56
90010,10010,1,1,10.7,8.0,69
90011,10011,1,0,33.0,7.4,38
90012,10012,3,0,5.5,9.1,83
90013,10013,3,0,24.6,6.0,22
90014,10014,2,0,34.2,6.4,22
90015,10015,4,0,20.1,8.8,78
90016,10016,2,0,45.9,6.9,20
90017,10017,2,0,17.4,7.3,58
90018,10018,2,1,20.9,7.1,24
90019,10019,0,0,43.3,8.0,58
90020,10020,1,0,12.3,7.7,19
90021,10021,6,1,41.0,6.0,11
90022,10022,1,1,31.9,6.5,19
90023,10023,2,0,30.2,6.5,0
90024,10024,2,1,22.0,9.1,76
90025,10025,2,1,37.4,5.7,13
90026,10026,0,0,41.0,10.0,78
90027,10027,2,1,10.5,8.0,39
90028,10028,3,1,6.8,6.4,13
90029,10029,2,1,34.4,8.4,55
90030,10030,3,1,28.2,8.2,72
90031,10031,1,0,36.8,9.8,83
90032,10032,1,0,32.3,8.0,46
90033,10033,1,1,48.5,8.6,76
90034,10034,3,0,39.3,5.0,0
90035,10035,1,0,15.1,6.5,35
90036,10036,2,0,21.3,6.3,33
90037,10037,2,0,24.1,8.9,71
90038,10038,1,1,10.3,7.0,35
90039,10039,2,0,44.2,6.3,12
90040,10040,0,0,23.3,9.1,78
90041,10041,1,0,34.6,8.0,67
90042,10042,5,2,8.3,4.2,-29
90043,10043,3,1,16.2,6.6,8
90044,10044,4,1,31.1,6.6,29
90045,10045,2,0,2.0,9.4,72
90046,10046,3,0,10.5,5.0,-17
90047,10047,2,0,14.8,6.9,31
90048,10048,3,0,7.0,6.3,23
90049,10049,2,0,18.5,6.0,18
90050,10050,3,1,39.5,8.3,51
90051,10051,2,0,42.6,8.6,50
90052,10052,3,2,4.6,6.1,12
90053,10053,7,4,2.0,2.9,-20
90054,10054,4,1,19.6,6.8,30
90055,10055,2,2,32.7,7.0,30
90056,10056,2,1,15.8,7.0,35
90057,10057,0,0,14.7,9.7,79
90058,10058,2,1,30.6,6.2,32
90059,10059,3,0,15.3,7.6,43
90060,10060,0,0,8.3,9.8,87
90061,10061,4,1,45.1,6.5,25
90062,10062,6,2,34.3,4.9,14
90063,10063,2,0,16.9,6.5,16
90064,10064,3,0,3.2,6.5,26
90065,10065,2,0,21.5,8.8,67
90066,10066,0,0,37.3,8.3,86
90067,10067,1,0,3.0,6.5,32
90068,10068,2,0,50.4,9.2,71
90069,10069,2,0,26.2,7.7,56
90070,10070,8,3,25.3,4.4,-16
90071,10071,3,1,33.3,7.0,41
90072,10072,3,2,38.6,5.8,16
90073,10073,1,1,37.5,9.1,93
90074,10074,2,1,22.3,7.7,71
90075,10075,2,0,34.4,9.2,55
90076,10076,0,0,20.2,7.4,48
90077,10077,1,0,19.3,10.0,78
90078,10078,1,0,31.5,6.7,28
90079,10079,2,1,28.5,6.7,29
90080,10080,5,0,2.0,7.1,51
90081,10081,2,0,31.7,7.5,54
90082,10082,5,3,35.0,5.6,4
90083,10083,1,1,42.6,7.6,42
90084,10084,4,2,39.9,5.9,42
90085,10085,5,2,28.3,6.2,10
90086,10086,5,1,23.7,6.6,44
90087,10087,1,0,19.1,8.0,43
90088,10088,0,0,48.8,9.0,59
90089,10089,5,0,37.2,7.8,39
90090,10090,2,0,21.2,8.8,71
90091,10091,2,0,48.3,7.5,67
90092,10092,4,0,2.0,7.2,40
90093,10093,4,0,44.1,5.2,12
90094,10094,2,0,2.0,7.6,48
90095,10095,3,1,2.0,6.7,25
90096,10096,2,0,2.0,6.1,6
90097,10097,3,2,49.2,7.5,39
90098,10098,1,0,9.4,7.7,44
90099,10099,2,0,36.2,8.2,61
90100,10100,5,1,14.2,5.5,5
90101,10101,4,1,43.8,7.2,23
90102,10102,1,0,26.5,8.8,75
90103,10103,3,1,34.0,7.8,51
90104,10104,3,0,2.0,8.1,44
90105,10105,2,0,3.1,8.8,79
90106,10106,3,1,3.5,6.0,49
90107,10107,0,0,26.4,8.7,67
90108,10108,0,0,20.5,6.7,17
90109,10109,5,2,5.8,5.3,12
90110,10110,3,1,33.3,7.4,48
90111,10111,3,2,37.2,5.4,-3
90112,10112,0,0,34.4,7.4,39
90113,10113,1,0,28.1,8.3,37
90114,10114,2,1,14.7,4.9,7
