usage_id,customer_id,monthly_logins,active_users,monthly_sessions,feature_adoption_rate,usage_change_pct,days_since_last_login,onboarding_completion,number_of_integrations
70001,10001,37,13,49,88.1,-38.5,0,87.6,1
70002,10002,146,35,142,17.1,-1.7,0,97.4,4
70003,10003,12,3,13,80.7,-27.2,41,72.5,1
70004,10004,103,27,123,73.9,22.6,32,86.7,0
70005,10005,93,20,65,29.8,10.1,0,24.7,3
70006,10006,24,14,27,68.4,-21.0,44,76.3,3
70007,10007,69,17,87,67.2,-43.6,17,71.5,2
70008,10008,49,13,50,54.6,9.9,20,75.8,3
70009,10009,45,19,37,68.8,-30.8,32,69.9,0
70010,10010,48,26,66,69.6,1.4,0,69.9,0
70011,10011,30,9,31,79.3,40.8,23,71.6,4
70012,10012,40,16,60,48.2,14.1,21,46.1,5
70013,10013,41,9,46,47.5,-27.0,0,85.2,3
70014,10014,59,17,47,57.6,-2.2,27,48.1,2
70015,10015,112,21,86,26.9,9.2,13,91.8,1
70016,10016,80,15,69,64.3,-0.6,16,50.4,1
70017,10017,90,18,127,56.9,9.6,5,91.4,1
70018,10018,80,20,87,54.1,3.0,5,57.2,1
70019,10019,19,5,26,70.2,-2.1,28,77.9,5
70020,10020,31,13,38,28.9,-29.4,12,100.0,1
70021,10021,87,20,121,40.8,-1.4,48,95.4,2
70022,10022,57,11,64,68.6,6.2,32,95.7,3
70023,10023,8,3,11,72.3,-21.8,9,36.9,0
70024,10024,19,4,28,76.6,12.8,21,65.9,1
70025,10025,50,16,41,64.4,-9.6,58,60.0,2
70026,10026,106,20,159,25.6,14.5,23,62.5,0
70027,10027,22,7,28,43.6,3.8,7,70.7,1
70028,10028,50,11,58,76.2,-26.1,8,68.9,3
70029,10029,100,21,149,80.3,17.7,0,72.9,1
70030,10030,48,11,40,36.4,-16.9,4,81.0,4
70031,10031,48,16,58,47.7,1.5,6,57.8,3
70032,10032,15,7,13,60.1,27.4,41,94.6,0
70033,10033,49,26,54,84.1,-1.3,19,86.3,2
70034,10034,34,18,25,64.1,-5.7,20,90.4,4
